"timestamp","host","content_type","http_authorization","http_user_agent","remote_addr","request","request_body","request_method","request_time","response_status","message"
"2021-04-28T22:35:25.975Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /rest/books HTTP/1.1",,"GET","0.002","200","GET /rest/books HTTP/1.1"
"2021-04-28T22:35:25.975Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /rest/books/17 HTTP/1.1",,"GET","0.002","200","GET /rest/books/17 HTTP/1.1"
"2021-04-28T22:34:41.975Z","3.208.148.212","application/json;charset=UTF-8",,"Go-http-client/1.1","1.55.250.226","POST /rest/orders HTTP/1.1","{""orderLines"":[{""book"":{""id"":3,""version"":6,""isbn"":""1492032646"",""name"":""Hands-On Machine Learning"",""description"":""Through a series of recent breakthroughs, deep learning has boosted the entire field of machine learning. Now, even programmers who know close to nothing about this technology can use simple, efficient tools to implement programs capable of learning from data. This practical book shows you how"",""pictureURL"":""https://images-na.ssl-images-amazon.com/images/I/51aqYc1QyrL._SX379_BO1,204,203,200_.jpg"",""price"":33.94,""vat"":null,""author"":""Aur�lien G�ron""},""quantity"":1},{""book"":{""id"":4,""version"":7,""isbn"":""0984723425"",""name"":""System Design Interview  An insider's guide"",""description"":""The system design interview is considered to be the most complex and most difficult technical job interview by many. This book provides a step-by-step framework on how to tackle a system design question."",""pictureURL"":""https://images-na.ssl-images-amazon.com/images/I/41WOfByjSPL._SX331_BO1,204,203,200_.jpg"",""price"":24.99,""vat"":null,""author"":""Alex Xu""},""quantity"":1},{""book"":{""id"":5,""version"":6,""isbn"":""0984723124"",""name"":""The Deep Learning Revolution"",""description"":""How deep learning - from Google Translate to driverless cars to personal cognitive assistants - is changing our lives and transforming every sector of the economy."",""pictureURL"":""https://m.media-amazon.com/images/I/51CkajVGNnL.jpg"",""price"":12.99,""vat"":null,""author"":""Terrence J. Sejnowski""},""quantity"":1}],""totalOrder"":71.91999999999999}","POST","0.002","400","POST /rest/orders HTTP/1.1"
"2021-04-28T22:35:53.975Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /js/lib/angular-1.3.0-rc.3/angular.min.js.map HTTP/1.1",,"GET","0.728","200","GET /js/lib/angular-1.3.0-rc.3/angular.min.js.map HTTP/1.1"
"2021-04-28T22:34:53.975Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /js/jquery-2.1.1.min.js HTTP/1.1",,"GET","0.245","200","GET /js/jquery-2.1.1.min.js HTTP/1.1"
"2021-04-28T22:35:50.975Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","DELETE /rest/books/17 HTTP/1.1",,"DELETE","0.005","500","DELETE /rest/books/17 HTTP/1.1"
"2021-04-28T22:34:53.975Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /css/bootstrap.min.css HTTP/1.1",,"GET","0.266","200","GET /css/bootstrap.min.css HTTP/1.1"
"2021-04-28T22:35:23.975Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /rest/books HTTP/1.1",,"GET","0.002","200","GET /rest/books HTTP/1.1"
"2021-04-28T22:34:53.975Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /js/controller/CustomerController.js HTTP/1.1",,"GET","0.001","200","GET /js/controller/CustomerController.js HTTP/1.1"
"2021-04-28T22:35:37.975Z","3.208.148.212",,,"Go-http-client/1.1","1.55.250.226","GET /rest/books HTTP/1.1",,"GET","0.001","200","GET /rest/books HTTP/1.1"
